FID,IID,SOL,C1,C2,C3,C4
TSI,1,0,0.0419187,-0.0899095,-0.0169766,0.000153878
TSI,2,0,0.044244,-0.0861517,-0.0133509,0.00156424
TSI,3,0,0.0443205,-0.087239,-0.0141773,0.00237501
TSI,4,0,0.0424166,-0.0889934,-0.0151551,0.00159677
TSI,5,0,0.0439145,-0.0861733,-0.0134,-0.000250596
TSI,6,0,0.0432222,-0.0871401,-0.0144416,0.0013712
TSI,7,0,0.042372,-0.0888506,-0.0146712,0.00163085
TSI,8,0,0.0434904,-0.0889824,-0.0178985,-0.000726981
TSI,9,0,0.0411996,-0.0900097,-0.0170041,0.00331923
TSI,10,0,0.0421307,-0.0866733,-0.0142086,-0.00035726
TSI,11,0,0.0441737,-0.0876214,-0.0162817,0.00235052
TSI,12,0,0.041226,-0.0888853,-0.0131438,0.00119815
TSI,13,0,0.0415913,-0.0882824,-0.0111331,-0.0013138
TSI,14,0,0.0417718,-0.0906807,-0.0163299,0.000573941
TSI,15,0,0.0420462,-0.0900007,-0.0134529,0.00168609
TSI,16,0,0.0436984,-0.088543,-0.0164704,0.00201823
TSI,17,0,0.0438775,-0.0885694,-0.0144462,7.89171e-05
TSI,18,0,0.0453809,-0.0878868,-0.0145735,-0.000758111
TSI,19,0,0.0436918,-0.0889083,-0.0170167,0.00143414
TSI,20,0,0.0427308,-0.0888614,-0.0161761,-0.00171989
TSI,21,0,0.0433944,-0.0876851,-0.0158521,0.000467027
TSI,22,0,0.0406395,-0.0872349,-0.0178234,-2.97011e-05
TSI,23,0,0.0415351,-0.0885122,-0.0157353,0.00124869
TSI,24,0,0.0436519,-0.085929,-0.0150439,0.000434319
TSI,25,0,0.0426612,-0.0883049,-0.0148008,0.00165284
TSI,26,0,0.0427142,-0.0882686,-0.0159714,0.00112068
TSI,27,0,0.0414836,-0.0893566,-0.0146085,0.000615345
TSI,28,0,0.0418139,-0.0866837,-0.0159775,0.00362473
TSI,29,0,0.0418805,-0.0904799,-0.0138775,-0.000277687
TSI,30,0,0.043216,-0.0884936,-0.0151184,0.00193138
TSI,31,0,0.042697,-0.0874696,-0.0141095,0.00101035
TSI,32,0,0.0419517,-0.088194,-0.0153301,0.00165175
TSI,33,0,0.0437943,-0.0862577,-0.0170318,0.000470774
